tic,date,neg,neu,pos,compound
ABBV,2024-01-08,0.0535,0.872,0.0745,0.125
ABBV,2024-01-09,0.0,0.905,0.095,0.14750000000000002
ABBV,2024-01-10,0.0,0.7532,0.2468,0.42988
ABBV,2024-01-11,0.0,0.953,0.04699999999999999,0.06743333333333333
ABBV,2024-01-12,0.0,1.0,0.0,0.0
ABBV,2024-01-14,0.0,0.857,0.143,0.3612
ABBV,2024-01-16,0.0,0.6646666666666666,0.33533333333333326,0.4042666666666667
ABBV,2024-01-17,0.0,1.0,0.0,0.0
ABBV,2024-01-18,0.0,0.9046666666666666,0.09533333333333333,0.16463333333333333
ABBV,2024-01-20,0.0,1.0,0.0,0.0
ABBV,2024-01-21,0.0,0.8215,0.1785,0.3062
ABBV,2024-01-22,0.0,1.0,0.0,0.0
ABBV,2024-01-23,0.0,0.6895,0.3105,0.6027
ABBV,2024-01-24,0.0,0.879,0.121,0.24695
ABBV,2024-01-25,0.0,0.827,0.17300000000000001,0.2936666666666667
ABBV,2024-01-26,0.0,1.0,0.0,0.0
ABBV,2024-01-28,0.155,0.845,0.0,-0.296
ABBV,2024-01-29,0.0,0.798,0.20199999999999999,0.3256333333333334
ABBV,2024-01-30,0.0,0.8125,0.1875,0.31845
ABBV,2024-01-31,0.0,1.0,0.0,0.0
ABBV,2024-02-01,0.0,0.819,0.181,0.26335
ABBV,2024-02-02,0.04058823529411765,0.8899411764705882,0.06941176470588235,0.08210588235294117
ABBV,2024-02-03,0.0,1.0,0.0,0.0
ABNB,2023-12-05,0.0,0.92275,0.07725,0.1366
ABNB,2023-12-07,0.0,1.0,0.0,0.0
ABNB,2023-12-08,0.0,0.8975,0.1025,0.10115
ABNB,2023-12-09,0.0,1.0,0.0,0.0
ABNB,2023-12-12,0.051000000000000004,0.9285555555555555,0.020444444444444446,-0.04471111111111111
ABNB,2023-12-13,0.13483333333333333,0.8245,0.04066666666666666,-0.08776666666666666
ABNB,2023-12-15,0.1375,0.6865,0.176,-0.05794999999999999
ABNB,2023-12-16,0.0,0.9545,0.0455,0.10115
ABNB,2023-12-18,0.0,0.652,0.348,0.4939
ABNB,2023-12-19,0.16160000000000002,0.7234,0.11499999999999999,-0.029459999999999997
ABNB,2023-12-20,0.08,0.649,0.271,0.25445
ABNB,2023-12-21,0.0,0.80325,0.19674999999999998,0.2983
ABNB,2023-12-22,0.0,0.9165,0.0835,0.1909
ABNB,2023-12-23,0.0,0.8775,0.1225,0.1909
ABNB,2023-12-24,0.0,0.581,0.419,0.5574
ABNB,2023-12-27,0.032,0.5569999999999999,0.41100000000000003,0.55535
ABNB,2023-12-28,0.0,1.0,0.0,0.0
ABNB,2023-12-29,0.0855,0.8140000000000001,0.1005,0.010224999999999984
ABNB,2023-12-30,0.0,1.0,0.0,0.0
ABNB,2024-01-01,0.0,1.0,0.0,0.0
ABNB,2024-01-02,0.0,0.789,0.211,0.4939
ABNB,2024-01-04,0.0,1.0,0.0,0.0
ABNB,2024-01-05,0.0,0.8113333333333334,0.18866666666666668,0.28929999999999995
ABNB,2024-01-08,0.23700000000000002,0.5375,0.2255,0.1495
ABNB,2024-01-11,0.0,0.901,0.099,0.1665
ABNB,2024-01-12,0.2,0.462,0.338,0.2023
ABNB,2024-01-14,0.0,1.0,0.0,0.0
ABNB,2024-01-15,0.0,0.9165,0.0835,0.125
ABNB,2024-01-16,0.0,1.0,0.0,0.0
ABNB,2024-01-18,0.05566666666666667,0.879,0.06533333333333334,0.031233333333333325
ABNB,2024-01-19,0.077,0.8366666666666666,0.08633333333333333,0.02676666666666666
ABNB,2024-01-22,0.0,0.8283333333333333,0.17166666666666666,0.3381
ABNB,2024-01-23,0.0,1.0,0.0,0.0
ABNB,2024-01-24,0.121,0.879,0.0,-0.4404
ABNB,2024-01-25,0.0,0.9015,0.0985,0.20095
ABNB,2024-01-26,0.048,0.8722,0.07980000000000001,0.0
ABNB,2024-01-29,0.0,0.869,0.131,0.24695
ABNB,2024-01-30,0.0,1.0,0.0,0.0
ABNB,2024-01-31,0.1445,0.614,0.2415,0.10235
ABNB,2024-02-01,0.0,1.0,0.0,0.0
ABNB,2024-02-02,0.292,0.708,0.0,-0.765
ABT,2023-11-27,0.0,1.0,0.0,0.0
ABT,2023-11-28,0.0,0.795,0.205,0.4767
ABT,2023-11-29,0.0,0.813,0.187,0.3182
ABT,2023-11-30,0.1155,0.8845000000000001,0.0,-0.1366
ABT,2023-12-05,0.0,0.6970000000000001,0.303,0.48845000000000005
ABT,2023-12-06,0.0,1.0,0.0,0.0
ABT,2023-12-08,0.0,0.714,0.286,0.4939
ABT,2023-12-10,0.0,0.706,0.294,0.3612
ABT,2023-12-12,0.0,1.0,0.0,0.0
ABT,2023-12-14,0.0,1.0,0.0,0.0
ABT,2023-12-15,0.0,1.0,0.0,0.0
ABT,2023-12-18,0.059,0.79475,0.14625,0.091175
ABT,2023-12-19,0.111,0.6745,0.21449999999999997,0.04500000000000001
ABT,2023-12-21,0.0,0.476,0.524,0.6705
ABT,2023-12-23,0.0,0.531,0.469,0.6486
ABT,2023-12-27,0.0,0.7595000000000001,0.2405,0.37895
ABT,2023-12-28,0.0,1.0,0.0,0.0
ABT,2024-01-01,0.0,1.0,0.0,0.0
ABT,2024-01-02,0.0,1.0,0.0,0.0
ABT,2024-01-03,0.0,0.81825,0.18175000000000002,0.273175
ABT,2024-01-05,0.0,0.588,0.412,0.6369
ABT,2024-01-08,0.0,0.9085,0.0915,0.28595
ABT,2024-01-09,0.0,1.0,0.0,0.0
ABT,2024-01-10,0.0,0.8845000000000001,0.1155,0.17
ABT,2024-01-11,0.0,1.0,0.0,0.0
ABT,2024-01-12,0.0,0.8975,0.1025,0.23835
ABT,2024-01-16,0.0,0.7105,0.2895,0.33525
ABT,2024-01-17,0.111,0.778,0.111,0.0
ABT,2024-01-18,0.0,0.9715,0.0285,0.100475
ABT,2024-01-19,0.0,1.0,0.0,0.0
ABT,2024-01-20,0.0,1.0,0.0,0.0
ABT,2024-01-21,0.0,0.643,0.357,0.6124
